File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Django\project\media\Booklogo.jpg,1931,832,636,0,0,12,1099,5693,0,0
E:\Django\project\media\dreaming_art.jpg,43,43,23,0,0,0,0,0,0,0
E:\Django\project\media\Harry.jpg,29,27,26,1,2,0,0,0,0,0
E:\Django\project\media\prince.jpg,31,31,15,0,0,0,0,0,0,0
E:\Django\project\media\red_planet.jpg,55,54,29,0,1,0,0,0,0,0
E:\Django\project\media\The_great.jpg,36,34,18,0,2,0,0,0,0,0
E:\Django\project\myprojectenv\.gitignore,3,2,0,0,1,0,0,0,0,0
E:\Django\project\myprojectenv\pyvenv.cfg,9,8,0,0,1,0,0,0,0,0
E:\Django\project\myprojectenv\Lib\site-packages\pip\_vendor\distlib\_backport\sysconfig.cfg,85,76,83,0,9,0,0,0,0,0
E:\Django\project\static\book.jpg,157,35,19,0,122,1,0,3,0,0
E:\Django\project\static\Booklogo.jpg,1931,832,636,0,0,12,1099,5693,0,0
E:\Django\project\static\Booklogo_BYzwTTk.jpg,1931,832,636,0,0,12,1099,5693,0,0
E:\Django\project\static\dreaming art.jpg,43,43,23,0,0,0,0,0,0,0
E:\Django\project\static\dreaming_art.jpg,43,43,23,0,0,0,0,0,0,0
E:\Django\project\static\Harry.jpg,29,27,26,1,2,0,0,0,0,0
E:\Django\project\static\Harry_kZUN1m1.jpg,29,27,26,1,2,0,0,0,0,0
E:\Django\project\static\photo.jpg,230,163,170,0,2,2,65,315,0,0
E:\Django\project\static\pp.jpg,19,18,15,0,1,0,0,0,0,0
E:\Django\project\static\pp_52JHFvZ.jpg,19,18,15,0,1,0,0,0,0,0
E:\Django\project\static\pp_MaPnHD5.jpg,19,18,15,0,1,0,0,0,0,0
E:\Django\project\static\prince.jpg,31,31,15,0,0,0,0,0,0,0
E:\Django\project\static\prince_mdWQgbW.jpg,31,31,15,0,0,0,0,0,0,0
E:\Django\project\static\read_books.jpg,222,219,215,0,3,1,0,1,0,0
E:\Django\project\static\red planet.jpg,55,54,29,0,1,0,0,0,0,0
E:\Django\project\static\red_planet.jpg,55,54,29,0,1,0,0,0,0,0
E:\Django\project\static\source.unsplash.jpg,739,632,374,0,4,3,103,518,0,0
E:\Django\project\static\The great.jpg,36,34,18,0,2,0,0,0,0,0
E:\Django\project\static\The_great.jpg,36,34,18,0,2,0,0,0,0,0
E:\Django\project\static\book.png,11,11,6,0,0,1,0,15,0,0
E:\Django\project\static\bhavesh_admin\Booklogo.jpg,1931,832,636,0,0,12,1099,5693,0,0
E:\Django\project\static\bhavesh_admin\dreaming_art.jpg,43,43,23,0,0,0,0,0,0,0
E:\Django\project\static\bhavesh_admin\Harry.jpg,29,27,26,1,2,0,0,0,0,0
E:\Django\project\static\bhavesh_admin\prince.jpg,31,31,15,0,0,0,0,0,0,0
E:\Django\project\static\bhavesh_admin\red_planet.jpg,55,54,29,0,1,0,0,0,0,0
E:\Django\project\static\bhavesh_admin\The_great.jpg,36,34,18,0,2,0,0,0,0,0
E:\Django\project\static\books for posting\BEARTOWN.png,402,400,310,0,2,1,0,18,0,0
E:\Django\project\static\books for posting\COMMONWEALTH.png,410,156,141,0,1,2,253,1457,0,0
